Alj_Title,response,cause,effect,is_causal
"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': '', 'effect': '', 'is_causal': False}",,,False
South Africa files case at ICJ accusing Israel of ‘genocidal acts’ in Gaza,"{'cause': 'genocidal acts in Gaza', 'effect': 'South Africa files case at ICJ accusing Israel', 'is_causal': True}",genocidal acts in Gaza,South Africa files case at ICJ accusing Israel,True
Yemen’s Houthi rebels seize cargo ship in Red Sea,"{'cause': 'Yemen’s Houthi rebels seize cargo ship', 'effect': 'None', 'is_causal': 'False'}",Yemen’s Houthi rebels seize cargo ship,None,False
US imposes sanctions on four Israeli settlers over West Bank violence,"{'cause': 'West Bank violence', 'effect': 'US imposes sanctions on four Israeli settlers', 'is_causal': True}",West Bank violence,US imposes sanctions on four Israeli settlers,True
"Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza, US says","{'cause': 'Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza', 'effect': 'US says', 'is_causal': 'True'}",Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza,US says,True
First fuel truck since start of Israel-Hamas war enters Gaza,"{'cause': 'start of Israel-Hamas war', 'effect': 'First fuel truck enters Gaza', 'is_causal': True}",start of Israel-Hamas war,First fuel truck enters Gaza,True
Israeli forces kill three Palestinians in West Bank hospital raid,"{'cause': 'Israeli forces raid on West Bank hospital', 'effect': 'three Palestinians killed', 'is_causal': True}",Israeli forces raid on West Bank hospital,three Palestinians killed,True
Palestinians mourn poet Refaat Alareer killed in Israeli air strike,"{'cause': 'Israeli air strike', 'effect': 'Refaat Alareer killed', 'is_causal': True}",Israeli air strike,Refaat Alareer killed,True
Behind the scenes: How the Israel-Hamas truce deal came together,"{'cause': 'Behind the scenes', 'effect': 'How the Israel-Hamas truce deal came together', 'is_causal': 'False'}",Behind the scenes,How the Israel-Hamas truce deal came together,False
"Body of Hamas captive Yehudit Weiss found near Gaza hospital, Israel says","{'cause': 'Body of Hamas captive Yehudit Weiss found near Gaza hospital', 'effect': None, 'is_causal': False}",Body of Hamas captive Yehudit Weiss found near Gaza hospital,,False
Shipping companies pause Red Sea journeys after Houthi attacks,"{'cause': 'Houthi attacks', 'effect': 'Shipping companies pause Red Sea journeys', 'is_causal': True}",Houthi attacks,Shipping companies pause Red Sea journeys,True
Israel agrees to allow ‘minimal’ two trucks of fuel a day into Gaza,"{'cause': 'Israel agrees to allow ‘minimal’ two trucks of fuel a day into Gaza', 'effect': None, 'is_causal': False}",Israel agrees to allow ‘minimal’ two trucks of fuel a day into Gaza,,False
Israeli tanks besiege Gaza’s Indonesian Hospital,"{'cause': 'Israeli tanks besiege Gaza’s Indonesian Hospital', 'effect': None, 'is_causal': False}",Israeli tanks besiege Gaza’s Indonesian Hospital,,False
Yemen’s Houthi rebels seize cargo ship in Red Sea,"{'cause': 'Yemen’s Houthi rebels seize cargo ship', 'effect': 'cargo ship in Red Sea', 'is_causal': True}",Yemen’s Houthi rebels seize cargo ship,cargo ship in Red Sea,True
Israel orders evacuations as onslaught on Gaza widens,"{'cause': 'onslaught on Gaza widens', 'effect': 'Israel orders evacuations', 'is_causal': True}",onslaught on Gaza widens,Israel orders evacuations,True
Babies evacuated from al-Shifa Hospital to southern Gaza amid Israel war,"{'cause': 'Israel war', 'effect': 'Babies evacuated from al-Shifa Hospital to southern Gaza', 'is_causal': True}",Israel war,Babies evacuated from al-Shifa Hospital to southern Gaza,True
