response,cause,effect,is_causal,Alj_Title,response,cause,effect,is_causal,BBC_Title
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Who was Hamas leader Saleh al-Arouri killed in Beirut?
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,South Africa files case at ICJ accusing Israel of ‘genocidal acts’ in Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,South Africa files ICJ case accusing Israel of 'genocidal acts'
"{'cause': 'Yemen’s Houthi rebels seize cargo ship', 'effect': 'in Red Sea', 'is_causal': True}",Yemen’s Houthi rebels seize cargo ship,in Red Sea,True,Yemen’s Houthi rebels seize cargo ship in Red Sea,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Yemen's Houthi rebels hijack cargo ship in Red Sea
"{'cause': 'West Bank violence', 'effect': 'US imposes sanctions on four Israeli settlers', 'is_causal': True}",West Bank violence,US imposes sanctions on four Israeli settlers,True,US imposes sanctions on four Israeli settlers over West Bank violence,"{'cause': 'West Bank violence', 'effect': 'US sanctions Israeli settlers', 'is_causal': True}",West Bank violence,US sanctions Israeli settlers,True,US sanctions Israeli settlers over West Bank violence
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza, US says","{'cause': '', 'effect': '', 'is_causal': False}",,,False,US says Israel to begin daily four-hour military pauses in Gaza
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,First fuel truck since start of Israel-Hamas war enters Gaza,"{'cause': 'start of war', 'effect': 'First fuel tanker enters Gaza from Egypt', 'is_causal': True}",start of war,First fuel tanker enters Gaza from Egypt,True,First fuel tanker enters Gaza from Egypt since start of war
"{'cause': 'Israeli forces raid West Bank hospital', 'effect': 'kill three Palestinians', 'is_causal': True}",Israeli forces raid West Bank hospital,kill three Palestinians,True,Israeli forces kill three Palestinians in West Bank hospital raid,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israeli forces kill three Palestinian fighters in West Bank hospital raid
"{'cause': 'Israeli air strike', 'effect': 'Palestinians mourn poet Refaat Alareer killed', 'is_causal': True}",Israeli air strike,Palestinians mourn poet Refaat Alareer killed,True,Palestinians mourn poet Refaat Alareer killed in Israeli air strike,"{'cause': 'air strike', 'effect': 'Palestinians mourn writer killed', 'is_causal': True}",air strike,Palestinians mourn writer killed,True,Refaat Alareer: Palestinians mourn writer killed in air strike
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Behind the scenes: How the Israel-Hamas truce deal came together,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,How the Israel-Hamas hostage deal came together
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Body of Hamas captive Yehudit Weiss found near Gaza hospital, Israel says","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Israel says hostage's body found near main Gaza hospital
