BBC_Title,response,cause,effect,is_causal
Who was Hamas leader Saleh al-Arouri killed in Beirut?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
South Africa files ICJ case accusing Israel of 'genocidal acts',"{'cause': 'South Africa files ICJ case', 'effect': ""accusing Israel of 'genocidal acts'"", 'is_causal': True}",South Africa files ICJ case,accusing Israel of 'genocidal acts',True
Yemen's Houthi rebels hijack cargo ship in Red Sea,"{'cause': ""Yemen's Houthi rebels"", 'effect': 'hijack cargo ship in Red Sea', 'is_causal': True}",Yemen's Houthi rebels,hijack cargo ship in Red Sea,True
US sanctions Israeli settlers over West Bank violence,"{'cause': 'West Bank violence', 'effect': 'US sanctions Israeli settlers', 'is_causal': True}",West Bank violence,US sanctions Israeli settlers,True
US says Israel to begin daily four-hour military pauses in Gaza,"{'cause': 'US says', 'effect': 'Israel to begin daily four-hour military pauses in Gaza', 'is_causal': True}",US says,Israel to begin daily four-hour military pauses in Gaza,True
First fuel tanker enters Gaza from Egypt since start of war,"{'cause': 'start of war', 'effect': 'First fuel tanker enters Gaza from Egypt', 'is_causal': True}",start of war,First fuel tanker enters Gaza from Egypt,True
Israeli forces kill three Palestinian fighters in West Bank hospital raid,"{'cause': 'Israeli forces raid on a West Bank hospital', 'effect': 'three Palestinian fighters were killed', 'is_causal': True}",Israeli forces raid on a West Bank hospital,three Palestinian fighters were killed,True
Refaat Alareer: Palestinians mourn writer killed in air strike,"{'cause': 'air strike', 'effect': 'Palestinians mourn writer killed', 'is_causal': True}",air strike,Palestinians mourn writer killed,True
How the Israel-Hamas hostage deal came together,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Israel says hostage's body found near main Gaza hospital,"{'cause': 'None', 'effect': ""hostage's body found near main Gaza hospital"", 'is_causal': 'False'}",None,hostage's body found near main Gaza hospital,False
Shipping firms pause Red Sea journeys over attacks,"{'cause': 'attacks', 'effect': 'Shipping firms pause Red Sea journeys', 'is_causal': True}",attacks,Shipping firms pause Red Sea journeys,True
Israel says it will allow two trucks of fuel a day into Gaza,"{'cause': 'Israel says it will allow two trucks of fuel a day into Gaza', 'effect': None, 'is_causal': False}",Israel says it will allow two trucks of fuel a day into Gaza,,False
Israeli tanks surround north Gaza's Indonesian Hospital,"{'cause': 'Israeli tanks surround north Gaza', 'effect': 'Indonesian Hospital', 'is_causal': False}",Israeli tanks surround north Gaza,Indonesian Hospital,False
Japan condemns Yemen's Houthi rebels hijack of cargo ship in Red Sea,"{'cause': ""Yemen's Houthi rebels hijack of cargo ship in Red Sea"", 'effect': 'Japan condemns', 'is_causal': True}",Yemen's Houthi rebels hijack of cargo ship in Red Sea,Japan condemns,True
