Column1,aj_id,aj_date,cnn_id,cnn_date,cosine_similarity,aj_title,cnn_title,matches
48,2839,2/13/24,4416,2/13/24,0.717588186,Russia puts Baltic officials on wanted list as Estonia warns of war plans,Russia places Estonia’s prime minister on wanted list,1
73,2842,2/13/24,4417,2/12/24,0.717096567,"US House speaker blasts aid deal for Israel, Ukraine as Senate backs bill","Senate passes $95 billion package with aid for Ukraine and Israel, setting up showdown with the House",1
113,2849,2/11/24,4420,2/11/24,0.872365236,Ukraine intelligence ‘confirms’ Russian forces using Starlink,Ukraine claims Russian forces using Starlink network in occupied areas,1
163,2854,2/9/24,4429,2/8/24,0.77004391,Russia and Ukraine exchange 100 prisoners each after UAE mediation,Russia and Ukraine exchange hundreds of prisoners,1
195,2858,2/8/24,4427,2/8/24,0.788042724,Ukraine’s Zelenskyy names new army chief after dismissing Zaluzhny,Zelensky fires Ukraine’s military chief in major shakeup nearly two years into war,0
318,2882,2/1/24,4441,2/1/24,0.703111708,"In a sign of commitment, EU unlocks aid for Ukraine as it fights off Russia",EU agrees $50B funding deal for Ukraine at pivotal time in the war,0
338,2884,2/1/24,4441,2/1/24,0.71925211,European Union agrees on new $54bn aid package for Ukraine,EU agrees $50B funding deal for Ukraine at pivotal time in the war,1
388,2889,1/31/24,4443,1/31/24,0.757852435,Is Zelenskyy planning to fire Ukraine’s popular top army commander?,"Zelensky set to announce dismissal of Ukraine’s top commander within days as rift grows over war, source says",1
400,2890,1/31/24,4446,1/31/24,0.919439912,Russia and Ukraine complete first prisoner exchange since plane crash,Russia and Ukraine complete ‘major’ prisoner exchange after mysterious plane crash,1
451,2897,1/29/24,4451,1/28/24,0.734303832,"Ukraine funding, Orban’s opposition set to dominate crucial EU summit",How Orban’s ties to Putin are putting European aid to Ukraine at risk,1
463,2901,1/28/24,4450,1/28/24,0.857304096,Ukraine says it uncovers $40m arms corruption scheme,Ukraine says it uncovered $40 million corruption scheme in weapons procurement,1
496,2908,1/25/24,4455,1/25/24,0.863882065,Russia jails nationalist critic Igor Girkin for four years over ‘extremism’,Pro-war Putin critic Igor Girkin sentenced to four years in Russian prison on extremism charges,1
613,2935,1/16/24,4466,1/16/24,0.710878134,Ukraine’s Zelenskyy urges Western allies to step up pressure on Russia,"Putin’s war must not become ‘frozen,’ Zelensky warns as Ukraine’s troops face shortages of weaponry and aid",0
629,2943,1/13/24,4468,1/13/24,0.75328815,Ukraine says Russia launched barrage of missile attacks nationwide,Russia unleashes fresh barrage of missiles and drones against Ukraine,1
687,2958,1/6/24,4476,1/6/24,0.73158288,Ukraine says Russian missile attack kills 11 in eastern town,11 killed including 5 children in Russian strikes on eastern Ukrainian town,1
690,2959,1/4/24,4478,1/5/24,0.809212685,"Russia used North Korean missiles in Ukraine, US says","Russia is using North Korean missiles in Ukraine, US says. That’s bad news for Asia",1
697,2961,1/3/24,4480,1/4/24,0.902902544,"Russia, Ukraine exchange hundreds of prisoners in largest release of war",Ukraine and Russia carry out largest prisoner exchange since beginning of the war,1
786,2986,12/26/23,4490,12/26/23,0.716923416,Russia confirms Ukraine destroyed its warship in Crimea attack,Ukraine claims it destroyed Russian tank landing ship,1
824,3008,12/15/23,4499,12/14/23,0.734089494,Hungary blocks $54bn EU financial aid for Ukraine,Hungary blocks Ukraine aid deal but EU opens door to membership talks,1
901,3018,12/13/23,4503,12/13/23,0.712627769,"Zelenskyy urges new Ukraine aid, as Biden warns funding delay helps Putin",Ukraine faces a daunting winter after Zelensky can’t convince Republicans to move quickly on new aid,0
928,3021,12/12/23,4507,12/12/23,0.727813244,Ukraine’s Zelenskyy arrives in the US. What’s on the agenda?,Zelensky’s latest Washington visit comes at critical moment for Ukraine on the battlefield and Capitol Hill,1
979,3030,12/11/23,4508,12/10/23,0.721570194,"Zelenskyy to meet US President Joe Biden, House Speaker as aid stumbles",Biden to host Ukrainian President Volodymyr Zelensky at White House Tuesday,1
989,3033,12/8/23,4511,12/8/23,0.830042124,"Russians, Belarusians to compete as ‘neutrals’ at 2024 Paris Olympics: IOC",Some Russian and Belarusian athletes can compete as neutrals at Paris 2024 if they meet eligibility requirements,1
1078,3041,12/5/23,4521,12/6/23,0.706043243,"Putin to visit Saudi Arabia, UAE with Israel-Hamas war on agenda",Putin makes rare foreign visit to UAE as Ukraine war grinds on,1
1098,3044,12/2/23,4529,12/2/23,0.832224071,"Russia boosts size of armed forces by 170,000 troops",Russia to boost size of army by 15% to 1.32 million,1
1108,3046,11/30/23,4533,12/1/23,0.715099335,"A hard, bloody winter awaits Ukrainian and Russian soldiers, say experts",Western officials warn Ukrainian forces face a difficult winter as Russia plans new strikes on infrastructure,1
1154,3057,11/26/23,4539,11/26/23,0.711737335,"Russia downs Ukrainian drones, missiles day after its attack on Kyiv","Russia destroys Ukrainian drones including over Moscow, defense ministry says",1
1276,3086,11/14/23,4554,11/14/23,0.707979918,Russian convicted over journalist Anna Politkovskaya’s murder pardoned,Organizer of Russian journalist’s murder pardoned after enlisting to fight in Ukraine,0
1325,3099,11/8/23,4561,11/8/23,0.71769011,Ukraine gets European Commission nod to start EU membership talks,"Ukraine is ready to start process of joining European Union, Commission says",1
1332,3101,11/8/23,4560,11/8/23,0.740671277,Car bomb kills Russia-backed politician in east Ukraine,Ukraine says it killed Kremlin-backed politician in car bombing in occupied Luhansk,1
1367,3111,11/4/23,4564,11/5/23,0.793843031,Ukraine’s Zelenskyy denies war with Russia at ‘stalemate’,"Tensions grow in Kyiv over status of war, as Zelensky insists conflict with Russia is not at a ‘stalemate’",1
1477,3145,10/22/23,4578,10/22/23,0.791253686,"Russian missile strike on mail depot in Ukraine kills six, officials say",‘Horrific’ Russian attack on postal depot kills six in eastern Ukraine,1
1495,3150,10/19/23,4583,10/19/23,0.797171533,Russia detains journalist with dual Russian and US citizenship,US citizen working as journalist detained in Russia,1
1532,3157,10/17/23,4584,10/17/23,0.861032248,"Ukraine uses ATACMS long-range missiles, Zelenskyy says","US has provided Ukraine long-range ATACMS missiles, sources say",0
1667,3192,10/5/23,4598,10/5/23,0.731547594,Ukraine says 51 people killed in Russian attack on Kharkiv village,Ukraine says Russian strike killed 51 in one of the deadliest attacks of the war,1
1898,3229,9/23/23,4622,9/23/23,0.717796922,‘Empire of lies’: Russia’s Lavrov slams West in UN speech,Russian foreign minister attacks West as ‘empire of lies’,1
1929,3232,9/23/23,4623,9/23/23,0.921836615,Poland’s PM tells Ukraine’s Zelenskyy to ‘never insult’ Polish people again,"Never ‘insult Poles again,’ Poland’s prime minister tells Ukraine’s Zelensky",1
1968,3235,9/22/23,4628,9/22/23,0.745406866,"Ukrainian missile hits Russian navy headquarters in Crimea, one missing","Ukraine launches missile attack on Russia’s Black Sea Fleet headquarters in Crimea, officials say",0
