Alj_Title,response,cause,effect,is_causal
"Who is Rustem Umerov, Ukraine’s next defence minister?","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Russia and Ukraine complete first prisoner exchange since plane crash,"{'cause': 'plane crash', 'effect': 'Russia and Ukraine complete first prisoner exchange', 'is_causal': True}",plane crash,Russia and Ukraine complete first prisoner exchange,True
Ukraine officially celebrates Christmas on December 25 for the first time,"{'cause': 'for the first time', 'effect': 'Ukraine officially celebrates Christmas on December 25', 'is_causal': True}",for the first time,Ukraine officially celebrates Christmas on December 25,True
"Ukraine combat drone damages building in central Moscow, Russia says","{'cause': 'Ukraine combat drone', 'effect': 'damages building in central Moscow', 'is_causal': True}",Ukraine combat drone,damages building in central Moscow,True
Russian convicted over journalist Anna Politkovskaya’s murder pardoned,"{'cause': 'Russian convicted over journalist Anna Politkovskaya’s murder', 'effect': 'pardoned', 'is_causal': True}",Russian convicted over journalist Anna Politkovskaya’s murder,pardoned,True
"Ukraine says Marianna Budanova, wife of military spy chief, was poisoned","{'cause': 'poisoned', 'effect': ""Marianna Budanova's condition"", 'is_causal': True}",poisoned,Marianna Budanova's condition,True
Ukraine gets European Commission nod to start EU membership talks,"{'cause': 'Ukraine gets European Commission nod', 'effect': 'start EU membership talks', 'is_causal': True}",Ukraine gets European Commission nod,start EU membership talks,True
Russian General Surovikin seen in first photo since Wagner mutiny: Reports,"{'cause': 'Wagner mutiny', 'effect': 'Russian General Surovikin seen in first photo', 'is_causal': True}",Wagner mutiny,Russian General Surovikin seen in first photo,True
Wagner boss Yevgeny Prigozhin confirmed dead in crash,"{'cause': 'crash', 'effect': 'Wagner boss Yevgeny Prigozhin confirmed dead', 'is_causal': True}",crash,Wagner boss Yevgeny Prigozhin confirmed dead,True
Romania claims parts of possible Russian drone fell on its territory,"{'cause': 'parts of possible Russian drone fell on its territory', 'effect': 'Romania claims', 'is_causal': True}",parts of possible Russian drone fell on its territory,Romania claims,True
‘Almost naked’ celebrity party triggers backlash in wartime Russia,"{'cause': '‘Almost naked’ celebrity party', 'effect': 'triggers backlash', 'is_causal': True}",‘Almost naked’ celebrity party,triggers backlash,True
Australia blocks new Russian embassy near parliament in Canberra,"{'cause': 'Australia blocks new Russian embassy', 'effect': 'near parliament in Canberra', 'is_causal': 'True'}",Australia blocks new Russian embassy,near parliament in Canberra,True
Hundreds flee floods in Ukraine after Nova Kakhovka dam breached,"{'cause': 'Nova Kakhovka dam breached', 'effect': 'Hundreds flee floods in Ukraine', 'is_causal': True}",Nova Kakhovka dam breached,Hundreds flee floods in Ukraine,True
"After ending deal, Russia warns against Black Sea grain shipments","{'cause': 'After ending deal', 'effect': 'Russia warns against Black Sea grain shipments', 'is_causal': True}",After ending deal,Russia warns against Black Sea grain shipments,True
Ukraine accuses Russia of shelling rescuers amid dam evacuations,"{'cause': 'Russia of shelling rescuers', 'effect': 'Ukraine accuses', 'is_causal': True}",Russia of shelling rescuers,Ukraine accuses,True
Poland says Russian missile briefly entered its airspace,"{'cause': 'Russian missile', 'effect': ""briefly entered Poland's airspace"", 'is_causal': True}",Russian missile,briefly entered Poland's airspace,True
"Ukraine to receive US long-range ATACMS missiles, US media report","{'cause': 'US media report', 'effect': 'Ukraine to receive US long-range ATACMS missiles', 'is_causal': True}",US media report,Ukraine to receive US long-range ATACMS missiles,True
"After brief exile in Belarus, Wagner boss in Russia: Lukashenko","{'cause': 'brief exile in Belarus', 'effect': 'Wagner boss in Russia', 'is_causal': True}",brief exile in Belarus,Wagner boss in Russia,True
Ukraine counteroffensive against Russia under way: think tank,"{'cause': 'Ukraine counteroffensive', 'effect': 'against Russia under way', 'is_causal': True}",Ukraine counteroffensive,against Russia under way,True
Hungary blocks $54bn EU financial aid for Ukraine,"{'cause': 'Hungary blocks', 'effect': '$54bn EU financial aid for Ukraine', 'is_causal': True}",Hungary blocks,$54bn EU financial aid for Ukraine,True
Cuba uncovers network trafficking Cubans to fight for Russia in Ukraine,"{'cause': 'Cuba uncovers network trafficking Cubans to fight for Russia', 'effect': 'Cubans fight in Ukraine', 'is_causal': True}",Cuba uncovers network trafficking Cubans to fight for Russia,Cubans fight in Ukraine,True
UK to declare Russia’s Wagner Group a ‘terrorist’ organisation,"{'cause': 'UK to declare Russia’s Wagner Group a ‘terrorist’ organisation', 'effect': None, 'is_causal': False}",UK to declare Russia’s Wagner Group a ‘terrorist’ organisation,,False
"Ukraine says Russian missile defence destroyed in Crimea, 2 warships hit","{'cause': 'Russian missile defence destroyed in Crimea, 2 warships hit', 'effect': None, 'is_causal': False}","Russian missile defence destroyed in Crimea, 2 warships hit",,False
Vladimir Putin accepts Kim Jong Un invitation to North Korea,"{'cause': 'Kim Jong Un invitation', 'effect': 'Vladimir Putin accepts', 'is_causal': True}",Kim Jong Un invitation,Vladimir Putin accepts,True
"War in Ukraine must stop, South Africa’s Ramaphosa tells Putin","{'cause': 'War in Ukraine', 'effect': 'must stop', 'is_causal': True}",War in Ukraine,must stop,True
All to know about Ukraine’s Nova Kakhovka dam explosion,"{'cause': 'Nova Kakhovka dam explosion', 'effect': 'widespread flooding', 'is_causal': True}",Nova Kakhovka dam explosion,widespread flooding,True
Decoding Putin’s ‘obsessive ideas’ in the Tucker Carlson interview,"{'cause': 'Putin’s ‘obsessive ideas’', 'effect': 'None', 'is_causal': 'False'}",Putin’s ‘obsessive ideas’,,False
Full text: NATO Vilnius summit communique,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
"NATO membership of Ukraine, Sweden in focus at Vilnius summit","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Russia’s central bank hikes rates to 12 percent to halt rouble’s slide,"{'cause': 'Russia’s central bank hikes rates to 12 percent', 'effect': 'halt rouble’s slide', 'is_causal': True}",Russia’s central bank hikes rates to 12 percent,halt rouble’s slide,True
"At least two killed in Russian attack on Zaporizhzhia city, Ukraine says","{'cause': 'Russian attack', 'effect': 'At least two killed', 'is_causal': True}",Russian attack,At least two killed,True
Ukraine says it uncovers $40m arms corruption scheme,"{'cause': 'uncovers $40m arms corruption scheme', 'effect': 'None', 'is_causal': 'False'}",uncovers $40m arms corruption scheme,,False
"At least 8 killed in Russian missile attack in Pokrovsk, eastern Ukraine","{'cause': 'Russian missile attack', 'effect': 'At least 8 killed', 'is_causal': True}",Russian missile attack,At least 8 killed,True
Ukraine says troops landed on Crimea in ‘special operation’,"{'cause': 'Ukraine says troops landed on Crimea', 'effect': 'in ‘special operation’', 'is_causal': True}",Ukraine says troops landed on Crimea,in ‘special operation’,True
Vladimir Putin accepts Kim Jong Un invitation to North Korea,"{'cause': 'Kim Jong Un invitation', 'effect': 'Vladimir Putin accepts', 'is_causal': True}",Kim Jong Un invitation,Vladimir Putin accepts,True
Russian rock band critical of Ukraine war faces deportation from Thailand,"{'cause': 'Russian rock band critical of Ukraine war', 'effect': 'faces deportation from Thailand', 'is_causal': True}",Russian rock band critical of Ukraine war,faces deportation from Thailand,True
Russia blasts ‘inhumanity’ of US sending depleted uranium shells to Ukraine,"{'cause': 'US sending depleted uranium shells to Ukraine', 'effect': 'Russia blasts ‘inhumanity’', 'is_causal': True}",US sending depleted uranium shells to Ukraine,Russia blasts ‘inhumanity’,True
Russia claims 70 attackers killed in cross-border Belgorod raid,"{'cause': 'cross-border Belgorod raid', 'effect': '70 attackers killed', 'is_causal': True}",cross-border Belgorod raid,70 attackers killed,True
"Ukraine, Russia trade blame for destruction of Nova Kakhovka dam","{'cause': 'Ukraine, Russia trade blame', 'effect': 'destruction of Nova Kakhovka dam', 'is_causal': True}","Ukraine, Russia trade blame",destruction of Nova Kakhovka dam,True
Zelenskyy says counteroffensive actions under way against Russia,"{'cause': 'counteroffensive actions under way', 'effect': 'actions against Russia', 'is_causal': True}",counteroffensive actions under way,actions against Russia,True
Thailand deports dissident Russian rockers to Israel,"{'cause': 'Thailand deports', 'effect': 'dissident Russian rockers to Israel', 'is_causal': True}",Thailand deports,dissident Russian rockers to Israel,True
Zelenskyy claims ‘victory’ as EU agrees to open Ukraine membership talks,"{'cause': 'EU agrees to open Ukraine membership talks', 'effect': 'Zelenskyy claims ‘victory’', 'is_causal': True}",EU agrees to open Ukraine membership talks,Zelenskyy claims ‘victory’,True
Full text: NATO Vilnius summit communique,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
"Ukraine, Russia trade blame for destruction of Nova Kakhovka dam","{'cause': 'Ukraine, Russia trade blame', 'effect': 'destruction of Nova Kakhovka dam', 'is_causal': True}","Ukraine, Russia trade blame",destruction of Nova Kakhovka dam,True
Ukraine to build first underground school to protect from Russian air raids,"{'cause': 'Russian air raids', 'effect': 'Ukraine to build first underground school', 'is_causal': True}",Russian air raids,Ukraine to build first underground school,True
Decoding Putin’s ‘obsessive ideas’ in the Tucker Carlson interview,"{'cause': 'Putin’s ‘obsessive ideas’', 'effect': 'None', 'is_causal': 'False'}",Putin’s ‘obsessive ideas’,,False
"Russia used North Korean missiles in Ukraine, US says","{'cause': 'Russia used North Korean missiles', 'effect': 'in Ukraine', 'is_causal': True}",Russia used North Korean missiles,in Ukraine,True
UN documents summary execution of 77 Ukrainian civilians,"{'cause': 'execution', 'effect': '77 Ukrainian civilians were killed', 'is_causal': True}",execution,77 Ukrainian civilians were killed,True
"Who is Rustem Umerov, Ukraine’s next defence minister?","{'cause': 'a Ukrainian drone attack', 'effect': 'Russia says it foiled', 'is_causal': True}",a Ukrainian drone attack,Russia says it foiled,True
Russia and Ukraine complete first prisoner exchange since plane crash,"{'cause': 'Ukraine, Russia trade blame', 'effect': 'destruction of Nova Kakhovka dam', 'is_causal': True}","Ukraine, Russia trade blame",destruction of Nova Kakhovka dam,True
Ukraine officially celebrates Christmas on December 25 for the first time,"{'cause': 'genetic tests', 'effect': 'Russia confirms death of Wagner chief Prigozhin', 'is_causal': True}",genetic tests,Russia confirms death of Wagner chief Prigozhin,True
"Ukraine combat drone damages building in central Moscow, Russia says","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Russian convicted over journalist Anna Politkovskaya’s murder pardoned,"{'cause': 'Qatari mediation', 'effect': 'Ukrainian children repatriated from Russia', 'is_causal': True}",Qatari mediation,Ukrainian children repatriated from Russia,True
"Ukraine says Marianna Budanova, wife of military spy chief, was poisoned","{'cause': 'Wagner mutiny', 'effect': 'Russian general missing', 'is_causal': True}",Wagner mutiny,Russian general missing,True
Ukraine gets European Commission nod to start EU membership talks,"{'cause': 'Russian attack', 'effect': 'Victoria Amelina, Ukrainian novelist, killed', 'is_causal': True}",Russian attack,"Victoria Amelina, Ukrainian novelist, killed",True
Russian General Surovikin seen in first photo since Wagner mutiny: Reports,"{'cause': 'killing of pro-Kremlin blogger', 'effect': 'Russian court jails woman for 27 years', 'is_causal': True}",killing of pro-Kremlin blogger,Russian court jails woman for 27 years,True
Wagner boss Yevgeny Prigozhin confirmed dead in crash,"{'cause': 'Cluster bombs were used by the US in the Vietnam War', 'effect': 'long-lasting civilian casualties and environmental damage', 'is_causal': True}",Cluster bombs were used by the US in the Vietnam War,long-lasting civilian casualties and environmental damage,True
Romania claims parts of possible Russian drone fell on its territory,"{'cause': 'Zelenskyy culminates Washington visit', 'effect': 'a White House pledge of $128m', 'is_causal': True}",Zelenskyy culminates Washington visit,a White House pledge of $128m,True
‘Almost naked’ celebrity party triggers backlash in wartime Russia,"{'cause': 'Prigozhin’s presumed plane crash death', 'effect': 'Russia’s Putin benefit', 'is_causal': True}",Prigozhin’s presumed plane crash death,Russia’s Putin benefit,True
Australia blocks new Russian embassy near parliament in Canberra,"{'cause': 'ICC war crimes prosecutor issued a warrant for Putin', 'effect': 'ICC war crimes prosecutor is now wanted in Russia', 'is_causal': True}",ICC war crimes prosecutor issued a warrant for Putin,ICC war crimes prosecutor is now wanted in Russia,True
Hundreds flee floods in Ukraine after Nova Kakhovka dam breached,"{'cause': 'Russia thwarts more Belgorod attacks', 'effect': 'blames Ukraine', 'is_causal': True}",Russia thwarts more Belgorod attacks,blames Ukraine,True
"After ending deal, Russia warns against Black Sea grain shipments","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Ukraine accuses Russia of shelling rescuers amid dam evacuations,"{'cause': '‘Almost naked’ celebrity party', 'effect': 'triggers backlash', 'is_causal': True}",‘Almost naked’ celebrity party,triggers backlash,True
Poland says Russian missile briefly entered its airspace,"{'cause': 'Russia struck', 'effect': 'civilian ship near Odesa', 'is_causal': True}",Russia struck,civilian ship near Odesa,True
"Ukraine to receive US long-range ATACMS missiles, US media report","{'cause': 'defence shake-up', 'effect': 'Ukraine’s Zelenskyy moves to replace Oleksii Reznikov', 'is_causal': True}",defence shake-up,Ukraine’s Zelenskyy moves to replace Oleksii Reznikov,True
