,aj_id,aj_date,cnn_id,cnn_date,cosine_similarity,aj_title,cnn_title,match
1,0,12/02/2024,3854,12/02/2024,0.790814877,"Israel kills dozens in Rafah strikes, frees two captives",Israeli forces rescue 2 hostages as airstrikes kill around 100 Palestinians in Rafah,1
165,23,07/02/2024,3868,07/02/2024,0.705361068,Blinken says ‘a lot of work’ remains on Israel-Hamas truce talks,Blinken says Hamas response on hostages and ceasefire deal ‘creates space for agreement to be reached’,0
583,93,26/01/2024,3894,26/01/2024,0.720666289,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,Top UN court says Israel must take ‘all measures’ to prevent genocide in Gaza but stops short of calling for ceasefire,1
590,94,26/01/2024,3894,26/01/2024,0.702588201,ICJ orders Israel to prevent acts of genocide in Gaza,Top UN court says Israel must take ‘all measures’ to prevent genocide in Gaza but stops short of calling for ceasefire,1
679,105,25/01/2024,3895,25/01/2024,0.703687429,Israel-Gaza war spillover risk: Mapping recent strikes in Middle East,Gaza endgame: Inching toward a deal to end the war,0
720,111,24/01/2024,3895,25/01/2024,0.748222828,"UN, UK push Israel on role of two-state solution in ending Gaza war",Gaza endgame: Inching toward a deal to end the war,0
859,130,21/01/2024,3905,21/01/2024,0.763059139,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,Netanyahu again rejects Palestinian sovereignty amid fresh US push for two-state solution,1
978,144,18/01/2024,3912,18/01/2024,0.827678144,Israel’s Netanyahu reiterates rejection of Palestinian state after Gaza war,Netanyahu’s apparent rejection of a post-war Palestinian state adds to tensions with Biden administration,0
1136,161,16/01/2024,3917,16/01/2024,0.825431406,Qatar announces Israel-Hamas deal for medicine and aid to enter Gaza,"Israel and Hamas have agreed deal on medicine for hostages, aid to Gaza, Qatar says",1
1305,199,11/01/2024,3927,11/01/2024,0.702274561,ICJ hears South Africa’s genocide case against Israel over Gaza war,South Africa accuses Israel of genocide and urges top UN court to halt Gaza war,1
1369,213,09/01/2024,3928,09/01/2024,0.748476088,Israel’s war on Gaza and the ‘obligation to prevent genocide’,Israel is facing a genocide case in international court. Could it halt the war in Gaza?,0
1539,250,03/01/2024,3942,02/01/2024,0.781590521,Who were the Hamas officials killed in Beirut?,"Senior Hamas leader killed in Beirut blast, heightening fears of wider regional conflict",0
