Column1,cnn_id,cnn_date,bbc_id,bbc_date,cosine_similarity,cnn_title,bbc_title,matches
131,4427,2/8/24,2068,2/8/24,0.726983964,Zelensky fires Ukraine’s military chief in major shakeup nearly two years into war,Zelensky sacks Ukraine's commander-in-chief Valerii Zaluzhnyi - BBC News,1
133,4427,2/8/24,2070,2/8/24,0.780403495,Zelensky fires Ukraine’s military chief in major shakeup nearly two years into war,Russia-Ukraine war: Zelensky calls for army renewal as top general replaced - BBC News,0
194,4435,2/4/24,2077,2/5/24,0.767501891,At least 28 killed in strike on Russian-occupied town in eastern Ukraine,Lysychansk: Dozens killed in strike on Russia-held Ukraine city - BBC News,1
206,4437,2/2/24,2083,2/2/24,0.836542606,Top UN court says Ukraine case over Russia’s invasion can go ahead,UN top court can rule on Ukraine case against Russia - BBC News,1
261,4441,2/1/24,2086,2/1/24,0.708677173,EU agrees $50B funding deal for Ukraine at pivotal time in the war,Ukraine support package worth â‚¬50bn agreed by EU leaders - BBC News,1
273,4442,1/31/24,2088,2/1/24,0.703084469,Europe gears up for a showdown with Orban over money for Ukraine,Hungary's Viktor Orban and EU leaders to face off over Ukraine aid at crucial summit - BBC News,1
334,4446,1/31/24,2093,1/31/24,0.835787356,Russia and Ukraine complete ‘major’ prisoner exchange after mysterious plane crash,Ukraine and Russia complete first prisoner swap since plane crash - BBC News,1
357,4450,1/28/24,2102,1/28/24,0.762192369,Ukraine says it uncovered $40 million corruption scheme in weapons procurement,Ukraine says it has uncovered major arms corruption - BBC News,1
469,4467,1/15/24,2126,1/15/24,0.739436269,Ukraine claims it destroyed Russian spy plane in attack over Sea of Azov,Ukraine says it shot down Russian A-50 spy plane - BBC News,1
526,4476,1/6/24,2142,1/6/24,0.76814127,11 killed including 5 children in Russian strikes on eastern Ukrainian town,"Ukraine-Russia war: missiles kill 11, including children, Ukrainian official says - BBC News",1
544,4478,1/5/24,2147,1/5/24,0.774712563,"Russia is using North Korean missiles in Ukraine, US says. That’s bad news for Asia",Ukraine war: US says Russia using North Korea ballistic missiles - BBC News,1
554,4480,1/4/24,2149,1/3/24,0.845684171,Ukraine and Russia carry out largest prisoner exchange since beginning of the war,Ukraine and Russia in 'biggest prisoner swap' so far - BBC News,1
577,4483,12/31/23,2159,12/31/23,0.787453711,Russia retaliates against Ukraine after 24 killed in border city,Ukraine war: Russia hits back after Kyiv attack on border city - BBC News,1
578,4483,12/31/23,2160,12/30/23,0.719268203,Russia retaliates against Ukraine after 24 killed in border city,Ukraine war: Kremlin says 20 dead after attack on Russian city - BBC News,0
608,4486,12/29/23,2164,12/29/23,0.706510425,Russia unleashes biggest air attack on Ukraine since start of full-scale invasion,UK sending more air defence missiles to Ukraine after Russia strikes - BBC News,0
610,4486,12/29/23,2166,12/29/23,0.708022356,Russia unleashes biggest air attack on Ukraine since start of full-scale invasion,Ukraine war: Russian attack on Ukraine cities hits deadly new level - BBC News,1
612,4486,12/29/23,2168,12/29/23,0.712075233,Russia unleashes biggest air attack on Ukraine since start of full-scale invasion,Ukraine war: Wave of Russian air strikes reported across Ukraine - BBC News,0
722,4499,12/14/23,2204,12/15/23,0.749699175,Hungary blocks Ukraine aid deal but EU opens door to membership talks,Hungary blocks â‚¬50bn of EU funding for Ukraine - BBC News,1
989,4521,12/6/23,2235,12/7/23,0.770171762,Putin makes rare foreign visit to UAE as Ukraine war grinds on,Putin makes rare foreign trip to Gulf states - BBC News,1
1004,4522,12/6/23,2236,12/6/23,0.792634845,US charges Russian soldiers with war crimes against an American in Ukraine,Four Russian soldiers charged with war crimes for torturing US citizen in Ukraine - BBC News,1
1046,4528,12/3/23,2246,12/3/23,0.710056067,Ukraine investigating if Russian troops killed surrendering soldiers,Ukraine war: Russia accused of killing unarmed Ukrainian prisoners of war - BBC News,1
